ano,id_municipio,taxa_bruta_matricula_pre_escola,numero_absoluto_bruto_matricula_pre_escola,taxa_liquida_matricula_pre_escola,numero_absoluto_liquido_matricula_pre_escola
2018,1101708,50.2,191,41.2,157
2019,1101708,13.9,52,13.1,49
2010,1101757,35.9,115,15.6,50
2011,1101757,36.6,129,19.3,68
2012,1101757,30.1,107,16.9,60
2013,1101757,28.9,112,25.3,98
2014,1101757,28.7,113,23.6,93
2015,1101757,27,108,22.3,89
2016,1101757,48.8,198,34.5,140
2017,1101757,31.4,129,26.3,108
2018,1101757,41.8,170,38.6,157
2019,1101757,49.2,203,46.3,191
2010,1101807,52.3,145,31.8,88
2011,1101807,72.6,175,40.2,97
2012,1101807,75,177,38.1,90
2013,1101807,57.3,143,51.3,128
2014,1101807,45,111,31.6,78
2015,1101807,57.4,140,46.7,114
2016,1101807,48.1,116,40.6,98
2017,1101807,55.8,133,44.9,107
2018,1101807,52.5,109,51.1,106
2019,1101807,61.8,125,56.3,114
2010,1200013,87.8,482,64.1,352
2011,1200013,87.2,457,54,283
2012,1200013,77.4,412,48.5,258
2013,1200013,86.8,474,78.4,428
2014,1200013,78.5,437,74.7,416
2015,1200013,67.9,385,60.5,343
2016,1200013,73.4,424,68.1,393
2017,1200013,71.7,421,64.9,381
2018,1200013,80,491,72.9,448
2019,1200013,77.9,486,68.9,430
2010,1200054,76.3,229,57.7,173
2011,1200054,101,306,65.3,198
2012,1200054,84.4,260,52.6,162
2013,1200054,106.8,338,95.8,303
2014,1200054,123,397,96.1,310
2015,1200054,94.5,311,87.2,287
2016,1200054,106.8,358,93.4,313
2017,1200054,107.9,368,92.1,314
2018,1200054,86.4,308,76.9,274
2019,1200054,98.3,356,87.8,318
2010,1200104,68.3,558,49,400
2011,1200104,74.1,653,56.2,495
2012,1200104,85.1,765,56.3,506
2013,1200104,82.5,763,75.8,701
2014,1200104,73.5,694,63.6,600
2015,1200104,75.9,731,69.3,667
2016,1200104,84.2,827,76.6,752
2017,1200104,86.1,861,78.2,782
2018,1200104,63.9,667,58.4,610
2019,1200104,62.3,661,55.9,593
2010,1200138,88.6,303,63.2,216
2011,1200138,78.6,286,50.5,184
2012,1200138,86.4,319,56.9,210
2013,1200138,84.3,319,78,295
2014,1200138,85.9,331,78.1,301
2015,1200138,87.7,344,76.7,301
2016,1200138,85.2,340,76.6,306
2017,1200138,64,260,58.6,238
2018,1200138,59.3,252,55.1,234
2019,1200138,75.3,325,68.9,297
2010,1200179,60.8,259,43.2,184
2011,1200179,73.5,294,59.5,238
2012,1200179,63.1,260,46.6,192
2013,1200179,65.9,285,62.9,272
2014,1200179,71.3,319,61.9,277
2015,1200179,80.1,370,68.9,318
2016,1200179,75.9,361,67,319
2017,1200179,76.2,373,70.4,345
2018,1200179,79,398,67.5,340
2019,1200179,84.9,438,71.3,368
2010,1200203,73.2,2614,49.6,1773
2011,1200203,85.8,3064,52,1859
2012,1200203,88.9,3201,55.4,1997
2013,1200203,90.5,3282,81.6,2959
2014,1200203,84.8,3099,76.6,2800
2015,1200203,83,3053,66.6,2451
2016,1200203,83.4,3088,77.5,2870
2017,1200203,88.6,3305,78.7,2935
2018,1200203,82.1,3250,75.1,2971
2019,1200203,87.3,3480,79.1,3156
2010,1200252,62,385,46.5,289
2011,1200252,61.9,383,42.6,264
2012,1200252,66.5,418,40.7,256
2013,1200252,68.4,442,62.2,402
2014,1200252,68.8,453,59.1,389
2015,1200252,63.3,425,59.3,398
2016,1200252,65.7,449,61,417
2017,1200252,68.3,475,62.4,434
2018,1200252,69.6,506,65.2,474
2019,1200252,75.3,556,69.2,511
2010,1200302,64.9,1169,46.9,844
2011,1200302,74.8,1315,52,914
2012,1200302,67.6,1191,43.7,770
2013,1200302,66.8,1172,60,1053
2014,1200302,68.3,1198,59.1,1036
2015,1200302,67.4,1181,58.3,1022
2016,1200302,70.4,1233,61.9,1084
2017,1200302,58.4,1023,50.6,886
2018,1200302,67.3,1262,58.9,1106
2019,1200302,65.8,1238,58.9,1108
2010,1200328,37.6,168,24.4,109
2011,1200328,46.2,211,35,160
2012,1200328,49.8,233,36.5,171
2013,1200328,34.9,169,32.2,156
2014,1200328,32.6,162,30.8,153
2015,1200328,30.8,157,29.4,150
2016,1200328,84.2,439,66.9,349
2017,1200328,54.2,289,49.3,263
2018,1200328,61.1,338,50.2,278
2019,1200328,43.8,247,38.1,215
2010,1200336,76.9,591,56.8,437
2011,1200336,80.8,610,51.9,392
2012,1200336,94.3,727,65.1,502
2013,1200336,92.9,740,85,677
2014,1200336,98,799,84.8,691
2015,1200336,91.4,762,82.9,691
2016,1200336,90.7,772,81.5,694
2017,1200336,87.1,757,77.9,677
